category,documents,photos,latitude,longitude
Umma,25567,917,31.6672,45.8875
Girsu,18746,911,31.5620,46.1776
Puzriš-Dagan,10080,843,32.0582,45.2890
Nineveh,7757,927,36.3594,43.1528
Nippur,6250,931,32.1264,45.2334
Ur,4717,796,30.9617,46.1051
Assur,3338,937,35.4567,43.2625
Irisagrig,2668,61,32.0625,45.2428
Kanesh,2459,937,38.8500,35.6330
Adab,2427,762,31.9473,45.6263
Uruk,1792,230,31.3242,45.6372
Sippar,1743,409,33.0588,44.2522
Garšana,1600,510,31.4432,46.1191
Nimrud,1451,312,36.0981,43.3289
Ugarit,1173,1,35.6019,35.7822
Isin,957,153,31.8850,45.2686
Babylon,736,72,32.5425,44.4211
Larsa,673,230,31.2858,45.8536
Ebla,427,242,35.7980,36.7980
Kisurra,410,0,31.8381,45.4806
Zabalam,370,54,31.7433,45.8767
Tuttul,356,350,35.9575,39.0475
Šuruppak,318,305,31.7774,45.5098
Kish,301,203,32.5403,44.6047
Ešnunna,280,151,33.4842,44.7283
Nuzi,237,186,35.3700,44.2549
Susa,221,9,32.1906,48.2578
Amarna,207,195,27.6453,30.8964
Nerebtum,205,206,33.3031,44.5843
Emar,184,0,35.9868,38.1114
Mari,158,0,34.5494,40.8900
Šaduppum,144,4,33.3095,44.4671
Huzirina,125,0,37.0503,38.9061
Persepolis,109,34,29.9350,52.8900
Pī-Kasî,110,57,32.1316,44.6388
Hattusa,105,6,40.0197,34.6153
